cpu_usage,memory_usage,disk_usage,disk_read_mbps,disk_write_mbps,network_in_mbps,network_out_mbps,temperature_c,fan_speed_rpm,power_watts,error_count,uptime_hours,disk_io_total,network_io_total,cpu_mem_pressure,temp_error_interaction,uptime_low,uptime_medium,uptime_high,uptime_very_high,temp_trend_slope,cpu_trend_slope,error_count_rolling_avg,temp_delta,error_delta
49.38,63.46,80.82,98.26,108.99,164.58,162.95,42.05,3226.0,256.52,0,3178.0,207.25,327.53,0.31336548000000003,0.0,False,False,True,False,-0.3460000000000042,-2.4820000000000007,2.4,-2.5700000000000003,-2.0
61.44,37.88,52.0,132.98,79.29,214.86,168.66,44.4,2574.0,289.37,2,3972.3,212.26999999999998,383.52,0.23273472,88.8,False,False,True,False,0.0,0.0,2.0,0.0,0.0
51.63,71.68,66.93,66.71,89.58,136.8,182.31,49.42,3042.0,292.01,7,3622.0,156.29,319.11,0.37008384000000005,345.94,False,False,True,False,0.5059999999999993,-3.0550000000000015,5.4,-14.36,-2.0
65.28,100.0,69.27,98.9,22.18,133.83,143.96,62.08,2215.0,303.63,16,3376.6,121.08000000000001,277.79,0.6528,993.28,False,False,True,False,-0.49700000000000677,-5.807000000000005,8.2,-9.310000000000002,9.0
47.13,52.96,95.69,93.95,109.75,176.97,173.07,67.03,1823.0,301.59,13,4106.9,203.7,350.03999999999996,0.24960048,871.39,False,False,True,False,-1.1800000000000055,-5.768000000000008,7.6,7.149999999999999,8.0
30.64,48.01,46.76,110.95,113.08,225.75,162.9,49.06,3190.0,242.01,3,5647.9,224.03,388.65,0.14710264,147.18,False,False,False,True,0.952999999999996,-6.137000000000003,3.4,10.469999999999999,-1.0
55.13,96.42,73.24,87.92,80.47,208.78,163.52,70.9,2438.0,272.53,13,1654.9,168.39,372.3,0.5315634600000001,921.7,False,True,False,False,0.8859999999999953,-2.8870000000000045,7.6,11.760000000000005,4.0
43.09,61.75,52.08,116.78,83.07,183.72,147.46,61.04,2267.0,260.43,6,2325.4,199.85,331.18,0.26608075000000003,366.24,False,True,False,False,2.9110000000000005,-0.031000000000001145,5.0,-1.0,1.0
62.26,32.45,80.04,71.25,97.17,194.64,229.11,55.69,3302.0,247.94,3,3399.1,168.42000000000002,423.75,0.20203369999999998,167.07,False,False,True,False,0.9959999999999943,1.9669999999999954,2.6,-1.9600000000000009,-1.0
50.94,31.53,48.39,102.02,49.11,96.95,100.43,62.07,3308.0,275.56,9,2290.0,151.13,197.38,0.16061382,558.63,False,True,False,False,2.0179999999999954,4.0049999999999955,4.6,2.3599999999999994,5.0
49.91,55.92,48.8,53.97,71.05,223.19,168.67,64.2,2274.0,321.66,2,2043.3,125.02,391.86,0.27909672,128.4,False,True,False,False,1.4099999999999921,-4.937000000000009,3.2,6.150000000000006,-2.0
70.4,65.64,80.32,137.49,139.64,172.74,159.0,58.07,2988.0,251.8,8,1851.0,277.13,331.74,0.46210560000000006,464.56,False,True,False,False,1.280999999999991,-0.0340000000000084,6.0,5.359999999999999,0.0
32.97,50.66,54.58,116.89,108.89,161.01,195.52,51.74,3016.0,217.55,1,2805.2,225.78,356.53,0.16702601999999997,51.74,False,True,False,False,0.0,0.0,1.0,0.0,0.0
42.97,16.05,46.82,80.25,119.66,252.83,177.87,53.23,3295.0,258.59,0,4696.0,199.91,430.70000000000005,0.06896685,0.0,False,False,True,False,2.069999999999996,-2.9060000000000032,1.4,7.439999999999998,-1.0
