server_id,snapshot_index,cpu_usage,memory_usage,disk_usage,disk_read_mbps,disk_write_mbps,network_in_mbps,network_out_mbps,temperature_c,fan_speed_rpm,power_watts,error_count,uptime_hours,failure
1,0,34.13,47.9,52.58,109.74,70.14,222.98,200.13,52.71,3143.0,273.99,2,4336.8,0
1,1,47.56,35.79,75.67,105.58,80.73,173.69,190.29,54.53,2928.0,273.29,4,4536.4,0
1,2,39.72,33.66,67.11,132.49,105.0,161.12,178.26,53.05,2870.0,282.13,1,3686.4,0
1,3,57.4,24.2,52.58,96.06,75.43,176.71,228.74,47.18,3094.0,231.08,4,3352.5,0
1,4,60.15,43.21,38.25,76.15,68.39,207.57,174.62,56.53,2675.0,267.95,3,3340.2,0
1,5,35.52,53.41,50.36,110.5,103.38,205.52,195.51,51.81,2676.0,263.22,1,2571.6,0
1,6,54.69,32.55,51.75,149.08,82.43,217.13,131.52,51.19,2517.0,258.06,2,3819.1,0
1,7,32.57,47.24,49.5,117.06,91.87,251.67,159.27,46.3,2855.0,269.28,2,4798.7,0
1,8,42.26,32.29,51.61,68.76,107.18,178.68,109.98,46.36,2895.0,281.68,5,2976.8,0
1,9,42.62,44.1,73.46,114.75,87.31,146.12,101.8,49.56,2785.0,300.31,3,2854.2,0
1,10,75.53,33.92,70.07,82.92,114.55,202.91,162.5,52.25,2604.0,273.9,0,2645.0,1
1,11,52.08,69.95,59.91,106.43,98.39,239.73,177.51,50.04,3132.0,273.59,3,4945.3,0
1,12,47.88,40.54,79.45,76.75,68.85,213.19,152.93,52.49,2750.0,271.8,1,4138.9,0
1,13,49.47,33.67,39.26,83.6,82.85,224.07,115.63,52.73,2654.0,258.53,5,3816.9,0
1,14,37.07,47.7,60.98,185.44,138.1,153.27,157.16,43.78,2621.0,271.43,3,3491.9,0
1,15,43.75,33.21,56.16,57.17,54.48,272.54,117.14,46.0,3349.0,323.26,1,3894.4,0
1,16,38.28,42.71,69.25,122.92,81.74,181.99,113.61,51.17,2718.0,269.83,1,4430.5,0
1,17,54.37,47.21,57.61,88.2,99.03,183.42,252.31,62.05,2913.0,249.96,2,4572.3,0
1,18,55.93,20.27,71.54,123.46,63.34,168.42,179.11,52.94,2709.0,263.19,4,3759.8,0
1,19,45.73,20.12,62.57,161.63,52.73,221.81,155.39,52.28,2480.0,258.6,6,4280.1,0
1,20,51.02,36.03,72.51,74.43,110.62,179.6,215.35,57.17,3342.0,279.94,5,3057.7,1
1,21,50.63,28.27,47.61,119.12,119.92,211.55,76.83,54.51,2817.0,273.64,3,2350.7,0
1,22,54.68,59.25,49.13,134.15,117.73,196.49,177.83,54.32,2536.0,262.44,1,4415.0,0
1,23,48.79,68.79,46.56,85.05,96.06,220.92,168.88,60.69,3051.0,282.27,3,4897.7,0
1,24,51.6,66.24,33.7,72.14,50.95,155.35,185.99,55.88,2877.0,237.21,4,3724.0,0
1,25,53.08,54.58,47.18,104.28,95.88,219.91,152.63,55.88,2714.0,263.15,1,2575.4,0
1,26,22.35,36.48,69.01,101.1,95.88,230.62,221.46,52.35,3199.0,267.38,3,3325.3,0
1,27,71.03,25.94,63.68,78.41,102.79,181.78,95.09,58.35,2611.0,254.89,5,4667.3,0
1,28,32.68,62.71,52.83,143.04,100.48,181.75,182.25,64.51,3415.0,266.99,2,3876.4,0
1,29,54.19,34.23,33.97,47.39,62.94,168.62,156.54,64.44,3123.0,246.39,5,4460.2,0
1,30,50.52,85.72,61.18,152.55,93.15,210.17,165.98,51.81,2557.0,274.28,3,4476.5,0
1,31,47.04,53.59,53.22,137.6,45.05,173.49,88.59,43.88,3200.0,283.61,2,3172.6,1
